email,label
"Subject: Team Outing This Friday

Hi Team,

We are organizing a team outing this Friday evening. We plan to visit the new restaurant downtown and enjoy a nice dinner together. It will be a great opportunity to relax and bond outside of work.

Please confirm your availability.

Best,
Nina",Social
"Subject: New Marketing Strategy Discussion

Hi Team,

We need to discuss our new marketing strategy for Q4. Please come prepared with your ideas and suggestions for our meeting on Tuesday at 2 PM in the main conference room.

Best,
Olivia
",Work
"Subject: Summer BBQ Party!

Hey Team,

We are planning a summer BBQ party this Saturday at Mike's place. It's going to be a fun day with lots of food, games, and music. Bring your family along and let’s have a great time together.

Please RSVP by Thursday so we can make the necessary arrangements.

Cheers,
Liam",Social
"Subject: Meeting Rescheduled to Thursday

Dear Team,

Please note that our weekly team meeting has been rescheduled from Wednesday to Thursday at 10 AM in the main conference room. Apologies for any inconvenience this may cause. Please adjust your schedules accordingly.

Best regards,

Michael",Work
"Subject: Office Renovation Update

Dear All,

We wanted to inform you that our office renovation will start next Monday. The work is expected to last for two weeks, during which time we will be working from home. Please ensure that you have all the necessary equipment and access to files.

Thank you for your cooperation.

Best regards,

Facilities Team",Work
"Subject: Upcoming Webinar on Industry Trends

Dear Team,

We are excited to announce that we will be hosting a webinar on the latest industry trends next Friday at 3 PM. Please register using the link below and mark your calendars. This is a great opportunity to gain insights and stay updated.

Best regards,
Alex

[REGISTER NOW](#)

Best regards,
Alex
Marketing Manager",Work
"Subject: Friday Happy Hour!

Hey Everyone,

We’re planning a happy hour this Friday at the new rooftop bar downtown. It’ll be a great chance to unwind and socialize after a long week. Let me know if you can make it!

Cheers,
Tom",Social
"Subject: New Policy Implementation

Dear Team,

We are rolling out a new policy regarding remote work starting next month. Please review the attached document for detailed information and make sure to adhere to the new guidelines.

Best regards,

HR Department",Work
"Subject: Important Security Update

Dear User,

We have identified a critical security vulnerability in our system. Please update your account password immediately by following the link below to ensure your account's safety.

[UPDATE PASSWORD](#)

Best regards,
Security Team",Work
"Subject: Project Deadline Extended

Hi Team,

Good news! The deadline for the project has been extended by one week. Please use this extra time to ensure everything is up to our quality standards. If you have any questions, feel free to reach out.

Best regards,

Emily,",Work
"Subject: Reminder: Team Building Activity Tomorrow

Hi Team,

This is a friendly reminder about our team building activity scheduled for tomorrow at 10 AM. We will be meeting at the lobby before heading to the venue. It’s going to be a day full of fun activities and a great chance to strengthen our teamwork.

Looking forward to seeing you all there!

Best,
Emma",Social
